113,Rowing,Rowing Men's Coxed Pairs
114,Athletics,Athletics Men's 400 metres Hurdles
115,Athletics,Athletics Men's 400 metres
116,Athletics,Athletics Men's Hammer Throw
117,Weightlifting,Weightlifting Men's Featherweight
118,Athletics,Athletics Men's 800 metres
119,Hockey,Hockey Men's Hockey
120,Alpine Skiing,Alpine Skiing Women's Slalom
121,Rowing,Rowing Women's Single Sculls
122,Swimming,Swimming Men's 50 metres Freestyle
123,Weightlifting,Weightlifting Women's Featherweight
124,Water Polo,Water Polo Women's Water Polo
125,Figure Skating,Figure Skating Men's Singles
126,Weightlifting,Weightlifting Men's Heavyweight
127,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual"
128,Equestrianism,"Equestrianism Mixed Three-Day Event, Team"
129,Figure Skating,Figure Skating Mixed Team
130,Sailing,Sailing Women's Three Person Keelboat
131,Cycling,"Cycling Women's Road Race, Individual"
132,Golf,Golf Women's Individual
133,Softball,Softball Women's Softball
134,Archery,Archery Women's Individual
135,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman"
136,Volleyball,Volleyball Men's Volleyball
137,Taekwondo,Taekwondo Women's Heavyweight
138,Synchronized Swimming,Synchronized Swimming Women's Duet
139,Synchronized Swimming,Synchronized Swimming Women's Team
140,Taekwondo,Taekwondo Women's Featherweight
141,Athletics,Athletics Men's Marathon
142,Athletics,Athletics Men's 4 x 400 metres Relay
143,Athletics,"Athletics Men's 10,000 metres"
144,Athletics,"Athletics Women's 3,000 metres"
145,Diving,Diving Women's Platform
146,Shooting,"Shooting Men's Air Rifle, 10 metres"
147,Athletics,Athletics Men's 200 metres
148,Weightlifting,Weightlifting Men's Flyweight
149,Swimming,Swimming Men's 100 metres Backstroke
150,Weightlifting,Weightlifting Men's Light-Heavyweight
151,Wrestling,"Wrestling Men's Lightweight, Greco-Roman"
152,Fencing,"Fencing Men's Sabre, Individual"
153,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman"
154,Shooting,"Shooting Men's Free Pistol, 50 metres"
155,Shooting,"Shooting Men's Air Pistol, 10 metres"
156,Rowing,Rowing Men's Coxless Fours
157,Boxing,Boxing Men's Light-Flyweight
158,Boxing,Boxing Men's Super-Heavyweight
159,Wrestling,"Wrestling Men's Flyweight, Greco-Roman"
160,Shooting,"Shooting Women's Air Rifle, 10 metres"
161,Weightlifting,Weightlifting Men's Middle-Heavyweight
162,Athletics,Athletics Men's Javelin Throw
163,Volleyball,Volleyball Women's Volleyball
164,Wrestling,"Wrestling Men's Welterweight, Greco-Roman"
165,Wrestling,"Wrestling Men's Middleweight, Greco-Roman"
166,Athletics,"Athletics Men's 3,000 metres Steeplechase"
167,Wrestling,"Wrestling Men's Middleweight, Freestyle"
168,Swimming,Swimming Women's 100 metres Backstroke
169,Swimming,Swimming Women's 200 metres Backstroke
170,Swimming,Swimming Women's 4 x 100 metres Medley Relay
171,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle"
172,Modern Pentathlon,Modern Pentathlon Men's Team
173,Boxing,Boxing Men's Bantamweight
174,Athletics,Athletics Women's 200 metres
175,Table Tennis,Table Tennis Women's Singles
176,Table Tennis,Table Tennis Women's Doubles
177,Shooting,Shooting Men's Skeet
178,Swimming,Swimming Women's 50 metres Freestyle
179,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
180,Athletics,Athletics Men's Triple Jump
181,Weightlifting,Weightlifting Women's Lightweight
182,Athletics,Athletics Women's Long Jump
183,Fencing,"Fencing Women's epee, Individual"
184,Swimming,Swimming Men's 200 metres Freestyle
185,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
186,Swimming,Swimming Men's 200 metres Backstroke
187,Swimming,Swimming Men's 200 metres Individual Medley
188,Swimming,Swimming Men's 400 metres Individual Medley
